p,val_acc,bleu,val_acc_awgn,bleu_awgn
0,0.834,84.12,0.804,53.96
0.1,0.819,61.08,0.776,43.42
0.2,0.8,52.46,0.757,42.87
0.3,0.782,55.2,0.651,31.75
0.4,0.734,38.15,0.608,29.85
0.5,0.666,28.45,0.567,25.52
0.6,0.625,34.49,0.559,29.85
0.7,0.593,29.47,0.556,27.28
0.8,0.551,26.89,0.538,28.14
0.9,0.526,28.46,0.516,31.38
